Фрейм,Амплитуда
191,0.93146724
192,0.74544126
193,0.66481835
194,0.629029
195,0.59696865
196,0.60578865
197,0.6649794
198,0.80292684
199,0.9737626
200,0.842294
201,0.7071801
202,0.66607964
203,0.62949026
204,0.59583026
205,0.584717
206,0.56667536
207,0.5631103
208,0.56677055
209,0.5530074
210,0.5351243
211,0.5016912
212,0.5019912
213,0.50313044
214,0.49241298
215,0.4842147
216,0.47479963
217,0.47827962
218,0.47701365
219,0.47236997
220,0.45993775
221,0.42670423
222,0.47005355
223,0.5932029
224,0.9105437
225,0.93995535
226,0.717916
227,0.6297702
228,0.58990455
229,0.5749176
230,0.5730254
231,0.53907573
232,0.5366711
233,0.9858274
234,1.3036482
235,0.99556
236,0.8197129
237,0.7196077
238,0.6512437
239,0.64116365
240,0.60630834
241,0.59439015
242,0.5943486
243,0.5787698
244,0.56801486
245,0.60672015
246,0.6860436
247,0.6709279
248,0.532008
249,0.7624639
250,1.1944889
251,0.9611694
252,0.6518252
253,0.59291863
254,0.5495298
255,0.49657673
256,0.48647517
257,0.48026907
258,0.45262718
259,0.44283977
260,0.44196576
261,0.42606035
262,0.42121845
263,0.49245927
264,0.55438703
265,0.53029764
266,0.6993702
267,1.121251
268,1.0206351
269,0.8070098
270,0.712333
271,0.6473882
272,0.6463248
273,0.70480454
274,0.71357405
275,0.93081343
276,1.0696801
277,1.0368602
278,0.87201566
279,0.817074
280,0.786728
281,0.7714387
282,0.8293749
283,0.80611163
284,0.6806443
285,0.90086186
286,1.0380573
287,0.7607066
288,0.646131
289,0.59602886
290,0.503475
291,0.44504926
292,0.44885716
293,0.45848775
294,0.43322822
295,0.38495016
296,0.3591936
297,0.34848115
298,0.34205133
299,0.36541802
300,0.58287007
301,0.95423985
302,0.7965604
303,0.51906407
304,0.4640029
305,0.45823523
306,0.43462676
307,0.39023435
308,0.37367538
309,0.3720893
310,0.72372323
311,0.98090523
312,0.75908476
313,0.5895621
314,0.51635754
315,0.4931549
316,0.47349063
317,0.4419532
318,0.44190454
319,0.4395362
320,0.41358638
321,0.39877677
322,0.3796934
323,0.37199703
324,0.37165675
325,0.37808335
326,0.4176735
327,0.7792756
328,0.87270486
329,0.60968673
330,0.4889594
331,0.45482057
332,0.43773794
333,0.45637655
334,0.48689318
335,0.48070312
336,0.7551823
337,0.9728114
338,0.84878594
339,0.7292662
